ID,marka,naw3,9at3a,khochn,toul,3ordh,R,G,B,soum
2725,Zen,sport,maryoul,1.041666667,56,57,133,24,28,210.6
2726,Zen,mta3 a3res,sabbat,1.063333333,80.8,55,149,27,32,713.5
2727,HA,posé,socks,0.986666667,41.6,58,124,22,25,196.7
2728,Bey&Bey,confy,kabbout,1.026666667,40,62,119,22,25,243.7
2729,Kontakt,sport,serwel,1.076666667,64,55,139,24,30,231.8
2730,HA,formel,sabbat,1.04,121.6,55,174,32,36,935.2
2731,Armani,confy,kabbout,1.031666667,24,59,102,18,21,101.3
2732,Armani,posé,t-shirt,0.973333333,121.6,59,179,32,35,1185.3
2733,Bey&Bey,formel,sabbat,1.065,56,65,132,24,28,226.8
2734,Zen,posé,t-shirt,1.053333333,24,59,102,18,21,63.9
2735,Zen,mta3 a3res,maryoul,1.011666667,28.8,54,110,20,22,64.1
2736,Bey&Bey,mta3 a3res,maryoul,1.063333333,80.8,59,149,27,32,489.9
2737,Zen,sport,sabbat,1.045,80,58,150,27,32,554.4
2738,HA,mta3 kolyoum,serwel,1.003333333,86.4,57,157,28,32,524.7
2739,Armani,posé,serwel,1.026666667,120.8,60,174,31,36,1048.5
2740,HA,confy,sabbat,1.031666667,26.4,56,105,19,22,92.8
2741,Kontakt,mta3 a3res,maryoul,0.93,23.2,60,106,19,19,177.6
2742,Zen,classy,maryoul,1.015,44,56,125,23,25,110
2743,Armani,posé,sabbat,1.041666667,104.8,58,165,30,34,727.7
2744,Zen,posé,maryoul,1.05,140.8,63,181,33,38,933.6
2745,HA,posé,t-shirt,1.02,56.8,56,136,25,28,290.9
2746,HA,posé,jacket,1.026666667,25.6,55,105,19,21,93.6
2747,Kontakt,sport,sabbat,1.108333333,56,57,128,23,28,257.5
2748,HA,sport,socks,1.04,24,55,102,18,21,102.5
2749,HA,posé,kabbout,1.036666667,26.4,56,105,19,22,66.6
2750,Bey&Bey,mta3 a3res,kabbout,0.961666667,31.2,61,116,20,22,105.8
2751,HA,sport,serwel,1.04,89.6,56,157,28,33,471.2
2752,HA,posé,t-shirt,1.043333333,20,53,95,17,20,44.5
2753,Armani,sport,maryoul,1.021666667,32.8,58,113,20,23,92.3
2754,Armani,mta3 a3res,sabbat,1.04,61.6,59,138,25,29,301.8
2755,HA,posé,sabbat,1.036666667,24.8,55,103,19,21,48.9
2756,HA,confy,sabbat,1.045,72,56,145,26,30,477
2757,Armani,formel,maryoul,1.028333333,56.8,56,136,24,28,177.4
2758,HA,classy,t-shirt,1.023333333,172.8,59,196,36,40,1571.4
2759,HA,formel,kabbout,1.005,120,57,176,32,36,1090.7
2760,Bey&Bey,sport,maryoul,1.041666667,80,62,150,27,31,446.6
2761,Armani,sport,serwel,1.01,57.6,61,138,24,28,158.8
2762,HA,mta3 a3res,maryoul,1.02,124.8,57,178,32,36,1114.8
2763,Bey&Bey,mta3 kolyoum,maryoul,1.06,73.6,57,144,26,31,415.8
2764,Zen,mta3 kolyoum,maryoul,1.006666667,24.8,60,104,19,21,50.7
2765,Zen,mta3 a3res,t-shirt,1.033333333,56,57,133,24,28,280.8
2766,HA,confy,serwel,1.03,80,57,152,27,31,482.9
2767,Armani,classy,maryoul,1.05,205.6,58,208,37,44,1848.5
2768,HA,sport,t-shirt,1.025,44,57,125,22,25,185.6
2769,Zen,confy,serwel,1.053333333,40,61,119,21,25,109.7
2770,HA,formel,socks,1.041666667,43.2,55,123,22,26,176.3
2771,Zen,confy,sabbat,1.023333333,44,57,125,22,25,178.6
2772,HA,mta3 kolyoum,sabbat,1.02,42.4,55,123,22,25,185.7
2773,Armani,confy,t-shirt,1.036666667,56,58,132,24,28,280
2774,Armani,mta3 a3res,sabbat,1.038333333,59.2,58,136,24,28,256
2775,HA,formel,sabbat,1.036666667,164.8,55,193,35,40,1877.9
2776,HA,confy,jacket,1.043333333,100,56,162,29,34,1353.6
2777,Zen,confy,sabbat,1.006666667,65.6,61,143,26,29,379.5
2778,Bey&Bey,sport,maryoul,1.051666667,98.4,56,160,29,34,654.5
2779,HA,mta3 a3res,jacket,1.033333333,38.4,55,118,21,24,192.6
2780,Armani,posé,serwel,0.99,90.4,58,161,29,32,443
2781,Armani,confy,sabbat,1.018333333,40,61,121,22,25,174.6
2782,Zen,mta3 a3res,t-shirt,1.028333333,120.8,59,173,31,36,1544
2783,Zen,confy,serwel,1.013333333,56,57,134,24,27,232.4
2784,Zen,sport,maryoul,1.003333333,42.4,57,123,22,25,136.7
2785,HA,sport,socks,1.02,27.2,56,107,19,22,97.4
2786,Zen,confy,serwel,1.02,120.8,58,173,31,35,914
2787,Zen,posé,t-shirt,1.02,102.4,55,165,30,34,864.5
2788,Armani,mta3 kolyoum,sabbat,1.013333333,80,61,152,27,31,677.6
2789,HA,sport,serwel,1.03,24,57,102,18,21,42.2
2790,HA,formel,socks,1.026666667,60.8,55,140,25,29,298.8
2791,Armani,posé,maryoul,1.046666667,74.4,58,148,26,31,364.6
2792,Zen,mta3 kolyoum,kabbout,1.046666667,73.6,58,145,26,31,715
2793,HA,mta3 a3res,sabbat,1.025,42.4,55,123,22,25,163.1
2794,Zen,sport,kabbout,1.02,56.8,58,134,24,27,311.3
2795,Armani,mta3 kolyoum,maryoul,1.045,27.2,59,105,19,22,80.3
2796,HA,mta3 kolyoum,maryoul,0.998333333,40,60,122,22,24,176.4
2797,HA,sport,maryoul,1.036666667,72,56,147,26,30,393.1
2798,HA,mta3 a3res,sabbat,1.033333333,80.8,56,154,27,32,653.3
2799,Zen,posé,sabbat,1.055,48.8,57.5,127,23,27,159
2800,Zen,posé,maryoul,1.053333333,160,54,189,34,40,1332
2801,Armani,sport,maryoul,1.038333333,91.2,59,158,28,33,554.8
2802,Zen,mta3 kolyoum,jacket,0.983333333,28.8,59,110,20,22,111.9
2803,Armani,posé,t-shirt,1.021666667,28,59,107,19,22,61.4
2804,Armani,confy,t-shirt,1.01,121.6,58,176,31,36,1677.9
2805,Armani,mta3 a3res,socks,1.026666667,24,58,103,18,21,108.5
2806,Bey&Bey,mta3 a3res,maryoul,1.041666667,40,60,120,22,25,122.3
2807,HA,formel,kabbout,1.038333333,28,57,107,19,22,78.8
2808,Armani,mta3 a3res,maryoul,1.048333333,33.6,57,113,20,23,99.2
2809,HA,mta3 kolyoum,maryoul,1.041666667,72,57,145,26,30,457.9
2810,Armani,classy,sabbat,1.008333333,108,56,170,30,34,625.4
2811,Zen,sport,maryoul,1.046666667,79.2,56,150,27,31,486.3
2812,Armani,confy,maryoul,1.036666667,72,59,147,26,31,425.9
2813,HA,mta3 a3res,sabbat,1.001666667,41.6,57,124,22,25,190.9
2814,Armani,sport,sabbat,1.046666667,88,58,156,28,33,638.7
2815,Zen,posé,t-shirt,1.035,56.8,55,135,24,28,256.9
2816,Bey&Bey,formel,kabbout,1.001666667,88.8,64,159,28,32,522.1
2817,Zen,posé,t-shirt,1.048333333,72,58,143,26,30,430.9
2818,HA,posé,maryoul,1.025,121.6,57,175,31,36,772.9
2819,Zen,mta3 kolyoum,t-shirt,1,20,63,96,17,19,38.8
2820,Zen,formel,maryoul,1.038333333,162.4,60,190,34,40,1639.2
2821,HA,confy,maryoul,1.031666667,24,57,101,18,21,56.4
2822,HA,confy,maryoul,1.026666667,24,57,102,18,21,67.5
2823,Kontakt,sport,t-shirt,1.005,40,66,121,22,24,132.7
2824,Armani,mta3 kolyoum,t-shirt,1.026666667,80.8,58,152,27,31,882.3
2825,HA,sport,maryoul,1.036666667,102.4,56,165,29,34,759.8
2826,HA,mta3 a3res,kabbout,1.033333333,19.2,57,94,17,19,67.8
2827,HA,mta3 a3res,t-shirt,1.028333333,32.8,56,113,20,23,118
2828,HA,mta3 a3res,maryoul,1.033333333,28.8,56,108,19,22,77
2829,HA,confy,maryoul,1.041666667,32,57,111,20,23,70.7
2830,Armani,sport,serwel,1.01,112,58,172,31,35,572.3
2831,Armani,sport,serwel,1.001666667,80.8,61,156,28,31,432.7
2832,Bey&Bey,formel,maryoul,1.06,93.6,61,158,28,33,491.4
2833,HA,formel,maryoul,1.031666667,92,56,158,29,33,630
2834,HA,confy,sabbat,1.013333333,56,56,136,25,28,350.4
2835,HA,classy,t-shirt,1.018333333,139.2,56,186,33,38,1119.4
2836,Bey&Bey,mta3 a3res,kabbout,1.021666667,57.6,65,136,24,28,314.5
2837,Armani,classy,maryoul,1.05,160.8,57,191,34,40,1321.9
2838,HA,sport,t-shirt,1.02,82.4,57,154,28,31,739.1
2839,Bey&Bey,mta3 a3res,serwel,1.071666667,80.8,57,150,27,32,389.7
2840,Bey&Bey,confy,maryoul,1.018333333,80,58,152,27,31,627.5
2841,Armani,confy,sabbat,1.038333333,24,58,101,18,21,65.8
2842,HA,sport,jacket,1.02,33.6,56,115,20,23,123.5
2843,HA,sport,t-shirt,1.035,120.8,55,175,31,36,1399.5
2844,Armani,sport,sabbat,1.021666667,40.8,59,122,22,25,144.3
2845,Armani,posé,t-shirt,1.036666667,24,60,100,18,21,52.6
2846,Armani,confy,t-shirt,1.003333333,24.8,58,105,18,21,94.2
2847,HA,mta3 kolyoum,sabbat,1.031666667,40.8,55,123,22,25,171.6
2848,HA,confy,sabbat,1.021666667,48.8,55,130,23,26,237.3
2849,HA,sport,maryoul,1.033333333,58.4,54,137,25,28,258.3
2850,HA,sport,sabbat,1.026666667,83.2,57,154,28,32,677.3
2851,HA,confy,jacket,1.031666667,30.4,56,110,20,23,132.7
2852,HA,confy,sabbat,1.028333333,33.6,56,114,20,23,102.4
2853,HA,confy,kabbout,1.023333333,32.8,56,114,20,23,124.3
2854,HA,mta3 a3res,sabbat,1.035,24,55,102,18,21,77.6
2855,Armani,posé,maryoul,1.035,56.8,58,135,24,28,209.6
2856,HA,mta3 a3res,t-shirt,1.03,20,57,96,17,20,43.6
2857,Zen,formel,hoodie,1.026666667,83.2,61,153,28,31,274.5
2858,Zen,formel,maryoul,1.006666667,56.8,63,136,25,27,192.6
2859,Armani,sport,t-shirt,1.016666667,44.8,60,127,23,26,199.9
2860,Zen,formel,sabbat,1.03,56,59,134,24,28,220
2861,Armani,classy,serwel,1.041666667,185.6,58,201,36,42,1466.6
2862,Zen,classy,t-shirt,1.05,74.4,53,147,27,31,365.1
2863,HA,posé,serwel,1.008333333,41.6,56,124,22,25,95.6
2864,Armani,sport,socks,1.01,28,60,108,19,22,111.6
2865,HA,mta3 a3res,socks,1.02,25.6,57,105,19,21,95.8
2866,Bey&Bey,mta3 kolyoum,serwel,0.986666667,56,60,136,25,27,238.2
2867,HA,mta3 a3res,t-shirt,1.036666667,93.6,56,160,29,33,864.8
2868,HA,posé,maryoul,1.02,56,56,135,24,28,218.4
2869,Armani,mta3 a3res,t-shirt,1.011666667,28.8,58,109,19,22,101.3
2870,HA,mta3 a3res,maryoul,1.023333333,52,58,132,23,27,184.1
2871,HA,confy,kabbout,1.026666667,24,56,102,18,21,76.6
2872,Zen,mta3 a3res,jacket,1.026666667,25.6,56,103,19,21,88.6
2873,Zen,posé,maryoul,1.035,46.4,55,127,23,26,123.9
2874,HA,sport,t-shirt,1.03,24,56,102,18,21,79.5
2875,Bey&Bey,posé,maryoul,1.061666667,96,58,159,28,34,577.9
2876,Bey&Bey,confy,maryoul,1.065,72,57,145,26,31,379.5
2877,Armani,posé,serwel,1.031666667,102.4,56,166,30,34,594.9
2878,Zen,mta3 a3res,sabbat,1.023333333,24.8,58.4,103,19,21,66.7
2879,HA,confy,t-shirt,1.035,48.8,57,128,23,27,232.4
2880,HA,posé,kabbout,1.023333333,30.4,57,110,20,22,106.9
2881,Bey&Bey,confy,maryoul,1.066666667,80.8,60,151,27,32,582.3
2882,Armani,mta3 kolyoum,maryoul,1.04,24,60,100,18,21,55.2
2883,Armani,confy,serwel,1.025,97.6,58,161,29,33,623.7
2884,Armani,formel,maryoul,1.02,85.6,58,157,28,32,412.6
2885,HA,confy,jacket,1.011666667,28,57,107,19,22,104.4
2886,Armani,posé,serwel,1.041666667,122.4,59,175,31,36,849.9
2887,Armani,posé,serwel,1.041666667,160,58,193,34,40,1294
2888,Armani,posé,serwel,1.035,182.4,59,200,36,41,1805.5
2889,HA,formel,serwel,1.021666667,122.4,59,176,31,36,806.2
2890,Zen,posé,serwel,1.056666667,183.2,57,199,36,42,1150.2
2891,Armani,classy,serwel,1.025,100,57,166,30,34,469
2892,Zen,confy,sabbat,1.053333333,120.8,56,172,31,36,1375.7
2893,Zen,formel,sabbat,1.041666667,85.6,56,154,28,32,487.3
2894,HA,mta3 kolyoum,maryoul,1.036666667,49.6,55,130,23,27,206.2
2895,HA,sport,kabbout,1.03,88.8,57,158,28,32,885.8
2896,Zen,posé,maryoul,1.02,24,62,101,18,21,42.1
2897,Armani,formel,maryoul,1.02,121.6,60,175,31,36,852.1
2898,HA,mta3 kolyoum,sabbat,1.028333333,40,53,122,22,25,167.8
2899,Zen,formel,maryoul,1.04,136.8,59,181,32,38,1068.1
2900,HA,confy,t-shirt,1.036666667,32.8,55,113,20,23,96.4
2901,HA,mta3 a3res,socks,1.021666667,25.6,57,104,19,21,92.9
2902,HA,sport,jacket,1.03,24,56,102,18,21,76.4
2903,HA,mta3 a3res,jacket,1.023333333,58.4,56,137,25,28,515.4
2904,Armani,mta3 kolyoum,t-shirt,1.02,24,59,103,18,21,91.4
2905,Bey&Bey,posé,maryoul,1.061666667,40.8,56,120,22,25,111.9
2906,Armani,confy,serwel,1.026666667,57.6,59,138,24,28,201.9
2907,Armani,posé,maryoul,1.02,24,60,102,18,21,54
2908,Zen,posé,sabbat,1.048333333,40,58,120,22,25,133.7
2909,Armani,posé,t-shirt,1.035,84.8,60,154,28,32,524.7
2910,HA,formel,maryoul,1.038333333,95.2,57,160,29,33,499.8
2911,Armani,confy,maryoul,1.03,24,60,101,18,21,67.5
2912,HA,mta3 kolyoum,sabbat,1.045,24.8,57,102,18,21,73.4
2913,HA,mta3 kolyoum,maryoul,1.033333333,27.2,56,106,19,22,62.6
2914,Armani,mta3 a3res,maryoul,1.035,176.8,59,197,35,41,1680.4
2915,Bey&Bey,sport,sabbat,1.068333333,80,58,147,27,32,500.2
2916,Armani,formel,serwel,1.033333333,72.8,59,146,26,30,291.3
2917,Zen,classy,maryoul,1.021666667,43.2,55,124,22,25,108
2918,HA,formel,jacket,1.03,32.8,55,113,20,23,86.3
2919,Armani,confy,sabbat,1.018333333,29.6,57,110,20,22,104.1
2920,Zen,formel,maryoul,1.005,64.8,58,142,26,29,270.1
2921,HA,sport,socks,1.016666667,24.8,56,103,18,21,98.8
2922,Armani,formel,maryoul,1.046666667,47.2,59,127,23,26,121.7
2923,Zen,mta3 a3res,t-shirt,1.021666667,28.8,54,109,20,22,78.1
2924,HA,mta3 a3res,sabbat,1.021666667,40.8,56,122,22,25,156.2
2925,HA,confy,sabbat,1.028333333,43.2,55,125,22,25,184.7
2926,HA,sport,serwel,1.035,82.4,56,152,28,32,440.7
2927,Armani,posé,maryoul,1.046666667,92.8,57,159,28,33,570.2
2928,HA,mta3 a3res,sabbat,1.015,44,57,125,23,25,170.2
2929,HA,confy,maryoul,1.048333333,27.2,56,106,19,22,76.5
2930,HA,mta3 a3res,sabbat,1.038333333,24,57,102,18,21,77.6
2931,Kontakt,posé,maryoul,1.076666667,74.4,58,145,26,31,375
2932,Armani,sport,serwel,1.006666667,100,59,165,30,33,630
2933,Zen,confy,kabbout,1.055,18.4,56,93,16,19,68
2934,Bey&Bey,mta3 kolyoum,maryoul,1.051666667,24,55,101,18,21,55.2
2935,HA,mta3 kolyoum,sabbat,1.02,24.8,55,103,18,21,73.4
2936,Zen,mta3 a3res,sabbat,1.043333333,72,58,144,26,30,468.1
2937,Zen,mta3 kolyoum,serwel,1.048333333,80.8,59,149,27,31,406.4
2938,HA,confy,sabbat,1.043333333,24,56,101,18,21,65.8
2939,HA,mta3 kolyoum,sabbat,1.023333333,41.6,56,122,22,25,166.4
2940,Armani,mta3 a3res,jacket,1.026666667,30.4,58,110,19,22,125.7
2941,Kontakt,posé,maryoul,1.045,34.4,66,113,20,23,98.4
2942,Armani,mta3 a3res,sabbat,1.026666667,85.6,60,155,28,32,597.4
2943,HA,mta3 kolyoum,maryoul,1.035,43.2,55,122,22,25,160.7
2944,HA,posé,maryoul,1.031666667,60,55,138,25,28,301.1
2945,HA,posé,socks,1.03,32.8,55,113,20,23,124.3
2946,Bey&Bey,classy,maryoul,1.055,61.6,57,137,25,29,190.9
2947,HA,formel,sabbat,1.02,82.4,56,154,28,31,537.8
2948,HA,sport,socks,1.03,25.6,55,105,19,21,102
2949,Armani,mta3 a3res,sabbat,1.03,24.8,59,102,18,21,80.2
2950,HA,posé,t-shirt,1.025,104.8,56,167,30,34,858.3
2951,Zen,mta3 kolyoum,t-shirt,1.015,28,58,107,19,22,76.3
2952,HA,mta3 a3res,maryoul,1.025,28.8,57,108,19,22,77
2953,HA,mta3 kolyoum,kabbout,1.015,24.8,57,104,18,21,99.7
2954,HA,confy,maryoul,1.041666667,57.6,55,135,24,28,289.7
2955,HA,mta3 kolyoum,maryoul,1.031666667,94.4,55,161,29,33,721.6
2956,HA,confy,sabbat,1.033333333,24,56,103,18,21,84.4
2957,Zen,sport,kabbout,1.046666667,18.4,55,93,17,19,43.1
2958,Armani,sport,maryoul,0.986666667,125.6,59,182,32,36,1111.3
2959,Armani,sport,sabbat,1.013333333,56,58,136,25,28,231.7
2960,Zen,mta3 a3res,t-shirt,1.033333333,40,58,120,22,25,169.2
2961,HA,formel,maryoul,1.031666667,56.8,56,135,24,28,266
2962,Armani,confy,serwel,0.991666667,29.6,61,111,20,22,66.6
2963,HA,posé,maryoul,1.033333333,60.8,56,139,25,29,257.8
2964,HA,confy,t-shirt,1.028333333,33.6,57,113,20,23,101.4
2965,Bey&Bey,posé,serwel,0.955,120,62,179,32,34,583.3
2966,Armani,confy,serwel,1.046666667,80,59,150,27,31,420
2967,HA,mta3 a3res,sabbat,1.018333333,32.8,56,113,20,23,86.3
2968,Armani,confy,t-shirt,1.018333333,80,60,152,27,31,758.8
2969,HA,sport,maryoul,1.021666667,25.6,57,104,19,21,46.1
2970,Zen,sport,maryoul,1.041666667,64.8,60,139,25,29,280.6
2971,Zen,mta3 a3res,socks,1.003333333,30.4,58,112,20,22,128.4
2972,Zen,mta3 kolyoum,serwel,1.011666667,140,57,184,33,38,1201.2
2973,Armani,sport,t-shirt,1.023333333,26.4,59,105,19,21,66.6
2974,Armani,classy,maryoul,0.991666667,72.8,62,151,26,29,286.3
2975,Armani,classy,serwel,1.043333333,81.6,60,152,27,32,359.9
2976,HA,formel,maryoul,1.031666667,97.6,56,163,29,34,526.1
2977,Zen,sport,sabbat,1.03,56,55,135,24,28,302.6
2978,Zen,confy,maryoul,1.05,24.8,57,101,18,21,54.4
2979,HA,mta3 kolyoum,sabbat,1.033333333,57.6,54.8,136,24,28,354.3
2980,Armani,mta3 kolyoum,sabbat,1.005,28.8,58,109,20,22,72.7
2981,Bey&Bey,confy,serwel,0.98,161.6,61,194,35,38,1823.6
2982,Armani,confy,sabbat,1.036666667,30.4,59,109,20,23,86.6
2983,HA,sport,jacket,1.035,24,57,101,18,21,76.4
2984,Zen,posé,sabbat,1.055,72,59,143,26,30,408.2
2985,Zen,sport,t-shirt,0.973333333,34.4,60,117,21,23,81.7
2986,Zen,formel,kabbout,1.001666667,56,63,137,24,27,241.5
2987,HA,classy,maryoul,1.008333333,80.8,56,154,28,31,359.9
2988,Armani,sport,t-shirt,1.033333333,99.2,55,165,29,34,844.9
2989,Zen,confy,sabbat,1.04,56,60,132,24,27,275.5
2990,HA,mta3 kolyoum,sabbat,1.01,44.8,56,126,23,25,196.3
2991,HA,sport,maryoul,1.026666667,24.8,55,103,18,21,56.3
2992,Armani,mta3 kolyoum,kabbout,1.036666667,32.8,58,113,20,23,118.1
2993,HA,posé,maryoul,1.035,56,56,136,24,28,211.3
2994,HA,sport,maryoul,1.033333333,24,55,101,18,21,54.5
2995,Zen,posé,maryoul,1.035,56.8,61,133,24,28,235.4
2996,Armani,confy,sabbat,1.025,64.8,58,142,25,31,367.4
2997,HA,sport,maryoul,1.038333333,24,56,101,18,21,47.7
2998,Zen,posé,maryoul,1.048333333,88,57,155,28,33,552.1
2999,HA,formel,kabbout,1.033333333,32,56,113,20,23,103.5
3000,Armani,classy,jacket,1.041666667,31.2,58,110,19,23,92.1
3001,Armani,sport,serwel,1.031666667,66.4,56,143,25,29,254.3
3002,Kontakt,mta3 a3res,t-shirt,0.921666667,28.8,67,113,20,21,81
3003,Armani,formel,kabbout,1.03,24,58,102,18,21,67.5
3004,HA,posé,sabbat,1.04,42.4,56,122,22,25,141.2
3005,Zen,classy,maryoul,1.055,91.2,55,156,28,33,417.3
3006,Zen,mta3 a3res,serwel,0.996666667,60,56,138,25,28,284
3007,Bey&Bey,sport,jacket,1.016666667,32.8,61,113,20,23,98.6
3008,Armani,sport,sabbat,1.045,81.6,58,151,27,32,605.8
3009,Armani,confy,maryoul,1.041666667,84,59,154,27,32,595.1
3010,Bey&Bey,confy,serwel,1.053333333,72,57,143,26,30,340.1
3011,Zen,mta3 kolyoum,t-shirt,1.038333333,83.2,59,151,28,32,819.2
3012,Armani,mta3 a3res,sabbat,1.031666667,42.4,58,123,22,25,175.3
3013,HA,mta3 kolyoum,serwel,1.036666667,60.8,57,138,25,29,268.2
3014,Zen,mta3 a3res,jacket,0.996666667,23.2,61,102,18,20,60.9
3015,HA,confy,sabbat,1.013333333,24.8,54,104,19,21,68
3016,HA,sport,t-shirt,1.038333333,40,55,120,22,25,162.4
3017,Zen,mta3 a3res,t-shirt,1.05,83.2,56,153,28,32,720.7
3018,HA,posé,sabbat,1.005,40,55,122,22,25,130.6
3019,HA,mta3 a3res,sabbat,1.025,96.8,56,163,29,33,834.8
3020,Bey&Bey,confy,sabbat,1.056666667,64,56,139,25,29,327.3
3021,Bey&Bey,posé,t-shirt,1.013333333,95.2,61,162,29,33,715.2
3022,HA,confy,jacket,1.02,20,57,97,17,20,74
3023,Zen,confy,maryoul,1.035,72,59,145,26,30,420.1
3024,HA,posé,maryoul,1.036666667,24,57,101,18,21,45
3025,Armani,confy,t-shirt,0.981666667,24.8,59,106,19,21,93
3026,HA,confy,sabbat,1.038333333,25.6,54,104,18,21,90
3027,Armani,posé,t-shirt,1.015,29.6,60,109,20,22,64.9
3028,Zen,posé,maryoul,1.018333333,56,56,135,24,28,254.8
3029,Armani,classy,maryoul,1.046666667,56,59,134,24,28,184.4
3030,Bey&Bey,sport,sabbat,1.07,64,58,138,25,29,275.3
3031,Armani,formel,sabbat,1.001666667,129.6,59,181,32,36,1066.9
3032,Bey&Bey,mta3 kolyoum,maryoul,1.061666667,25.6,55,102,18,22,70.6
3033,Zen,sport,serwel,1.048333333,64.8,56.9,139,25,29,249.3
3034,Armani,sport,kabbout,1.031666667,80.8,58,153,27,31,637.1
3035,Bey&Bey,sport,jacket,1.053333333,24,58,100,18,21,78.9
3036,HA,sport,maryoul,1.026666667,60,55,138,25,28,290.2
3037,Zen,formel,maryoul,1.051666667,120,59,170,31,36,829.1
3038,HA,confy,sabbat,1.018333333,46.4,57,127,23,26,188.4
3039,Bey&Bey,posé,maryoul,1.053333333,33.6,58,113,20,24,70
3040,HA,sport,jacket,1.036666667,36.8,57,117,21,24,139.3
3041,HA,confy,t-shirt,1,41.6,56,124,22,25,188.3
3042,Armani,posé,t-shirt,1.035,120,59,172,31,36,1108.8
3043,HA,formel,sabbat,1.036666667,25.6,57,104,19,21,57.6
3044,HA,mta3 kolyoum,maryoul,1.033333333,33.6,55,114,20,24,104
3045,HA,confy,maryoul,1.038333333,30.4,53,110,20,23,66
3046,HA,sport,jacket,1.043333333,20,55,95,17,20,58.2
3047,HA,sport,maryoul,1.041666667,56.8,57,134,24,28,260.4
3048,Armani,confy,maryoul,0.971666667,120.8,59,178,32,35,1264.4
3049,HA,confy,sabbat,1.02,27.2,56,107,19,22,70.2
3050,HA,posé,sabbat,1.031666667,96.8,55,162,29,33,725
3051,HA,sport,kabbout,1.025,22.4,56,100,18,20,58.6
3052,Zen,mta3 a3res,maryoul,1.051666667,28,56,107,19,22,74.8
3053,HA,mta3 kolyoum,serwel,1.035,24.8,57,102,18,21,46.2
3054,Armani,mta3 a3res,kabbout,1.026666667,34.4,60,114,21,23,116.9
3055,HA,posé,sabbat,1.046666667,64,57,140,25,29,283.4
3056,Zen,mta3 a3res,maryoul,1,31.2,55,113,20,22,66.1
3057,HA,mta3 kolyoum,sabbat,1.03,41.6,57,122,22,25,182.2
3058,Zen,confy,sabbat,1.028333333,120,60,173,31,36,1371
3059,HA,sport,serwel,1.038333333,56.8,56,134,24,28,226.6
3060,HA,sport,t-shirt,1.03,25.6,55,105,19,21,82.8
3061,HA,confy,maryoul,1.043333333,56,55,133,24,28,265.6
3062,Zen,sport,kabbout,1.036666667,23.2,55,100,18,21,54.1
3063,Bey&Bey,mta3 a3res,serwel,0.985,77.6,62,154,28,30,418.2
3064,Zen,posé,serwel,1.053333333,180.8,58,198,35,42,1309.5
3065,HA,mta3 kolyoum,serwel,1.045,80,58,150,27,31,524.6
3066,HA,mta3 kolyoum,maryoul,1.028333333,40,56,122,22,25,162.3
3067,Zen,mta3 kolyoum,maryoul,1.058333333,40.8,55,120,21,25,157.4
3068,Armani,sport,sabbat,1.033333333,42.4,58,123,22,25,160.7
3069,Bey&Bey,mta3 kolyoum,sabbat,1.061666667,40.8,57,119,21,25,166.5
3070,Kontakt,classy,t-shirt,1.076666667,164.8,58,187,34,41,1475
3071,Zen,sport,sabbat,1.053333333,91.2,56,158,28,33,643.5
3072,Bey&Bey,mta3 a3res,maryoul,1.06,80.8,58,151,27,32,498.9
3073,Armani,posé,serwel,1.02,100,62,165,29,33,574
3074,HA,mta3 kolyoum,maryoul,1.013333333,80.8,56,155,28,31,593.9
3075,Bey&Bey,mta3 a3res,kabbout,1.006666667,20.8,61,98,18,20,51.7
3076,Armani,mta3 a3res,serwel,0.986666667,177.6,59,202,36,40,1355.3
3077,Zen,confy,serwel,1,92,59,160,29,32,525.7
3078,Armani,mta3 kolyoum,sabbat,1.048333333,40,61,119,21,25,184.5
3079,Armani,confy,kabbout,1.031666667,24.8,58,103,18,21,104.6
3080,Armani,mta3 kolyoum,jacket,1.025,40,58,121,21,25,252.5
3081,HA,classy,serwel,1.031666667,80.8,55.3,152,28,32,409.9
3082,HA,confy,jacket,1.015,26.4,56,105,19,21,98.4
3083,HA,sport,t-shirt,1.026666667,44,55,125,23,26,178.6
3084,Zen,posé,socks,1.013333333,28.8,57,108,19,22,86.5
3085,Armani,sport,serwel,1.013333333,28.8,58,108,19,22,47.3
3086,HA,mta3 a3res,maryoul,1.018333333,56,57,136,24,28,251.6
3087,HA,sport,kabbout,1.016666667,28,57,107,19,22,79.8
3088,HA,mta3 a3res,sabbat,1.026666667,44.8,55,126,22,26,181.4
3089,Bey&Bey,confy,sabbat,1.07,56,60,133,24,28,241.5
3090,Armani,confy,maryoul,1.038333333,97.6,59,161,29,33,739.5
3091,HA,sport,jacket,1.028333333,56.8,57,136,24,28,293
3092,Zen,posé,maryoul,1.025,56.8,56,135,24,28,247.1
3093,HA,formel,sabbat,1.04,120,54.1,173,31,36,973
3094,Bey&Bey,mta3 a3res,jacket,1.053333333,80.8,56,150,27,32,901.2
3095,HA,mta3 kolyoum,maryoul,1.038333333,28,55,107,19,22,64.4
3096,Armani,sport,sabbat,1.005,88,57,159,28,32,603.2
3097,HA,sport,serwel,1.031666667,40.8,55,121,22,25,112.1
3098,Armani,classy,sabbat,0.996666667,72,62,148,26,29,286.3
3099,HA,confy,sabbat,1.033333333,42.4,55,123,22,25,172.7
3100,Armani,confy,maryoul,1.03,131.2,59,179,32,37,1289.6
